Year,Month,CTI,SOI,PDO,NAO,AMO,IOD,AO,QBO,EP,CP,PNA,AAO
1854,11,-0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1854,12,-0.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,1,0.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,2,0.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,3,0.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,4,-0.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,5,0.391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,6,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,7,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,8,1.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,9,-0.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,10,1.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,11,1.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,1,1.48,NaN,NaN,NaN,0.226,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1856,2,0.545,NaN,NaN,NaN,0.159,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1856,3,0.0099,NaN,NaN,NaN,0.231,0.24,NaN,NaN,NaN,NaN,NaN,NaN
1856,4,0.251,NaN,NaN,NaN,0.15,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1856,5,-0.135,NaN,NaN,NaN,0.202,-0.11,NaN,NaN,NaN,NaN,NaN,NaN
1856,6,-0.555,NaN,NaN,NaN,0.225,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1856,7,-0.0341,NaN,NaN,NaN,0.238,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1856,8,-0.617,NaN,NaN,NaN,0.215,-0.21,NaN,NaN,NaN,NaN,NaN,NaN
1856,9,-0.423,NaN,NaN,NaN,0.282,-0.56,NaN,NaN,NaN,NaN,NaN,NaN
1856,10,-0.156,NaN,NaN,NaN,0.132,-0.5,NaN,NaN,NaN,NaN,NaN,NaN
1856,11,-0.0477,NaN,NaN,NaN,0.142,-0.05,NaN,NaN,NaN,NaN,NaN,NaN
